episode,agent_type,current_model_id,current_model_name,true_end_policy,switch_point,model_correct,him_triggered,log_lik_per_step,episode_reward
54,him_her,1,territorial,territorial,30,1,0,-1.676025390625,0.0
55,him_her,1,territorial,territorial,20,1,0,-1.40880286693573,0.0
56,him_her,1,territorial,territorial,25,1,0,-1.3882213830947876,0.0
57,him_her,1,territorial,territorial,30,1,0,-1.7099249362945557,0.0
58,him_her,0,evasive,evasive,32,1,1,-5.256324291229248,1.0
59,him_her,0,evasive,evasive,19,1,1,-2.389172077178955,1.0
60,him_her,1,territorial,evasive,30,0,1,-8.810603141784668,1.0
61,him_her,1,territorial,territorial,17,1,0,-1.960085391998291,1.0
62,him_her,1,territorial,territorial,22,1,0,-1.4902117252349854,0.0
63,him_her,1,territorial,territorial,30,1,1,-2.5557756423950195,1.0
64,him_her,1,territorial,territorial,26,1,0,-1.419878363609314,0.0
65,him_her,1,territorial,evasive,22,0,0,-1.763847827911377,1.0
66,him_her,1,territorial,territorial,16,1,0,-1.386917233467102,0.0
67,him_her,1,territorial,territorial,28,1,0,-1.6980338096618652,0.0
68,him_her,1,territorial,territorial,24,1,0,-1.3808492422103882,0.0
69,him_her,1,territorial,territorial,16,1,0,-1.4444764852523804,1.0
70,him_her,1,territorial,evasive,32,0,0,-0.9354468584060669,1.0
71,him_her,1,territorial,territorial,21,1,0,-1.7614983320236206,1.0
72,him_her,0,evasive,evasive,27,1,1,-3.1425821781158447,1.0
73,him_her,1,territorial,territorial,22,1,1,-4.372732162475586,1.0
74,him_her,1,territorial,territorial,33,1,0,-1.547221064567566,0.0
75,him_her,1,territorial,territorial,32,1,1,-2.0822606086730957,0.0
76,him_her,1,territorial,territorial,29,1,0,-1.507715106010437,0.0
77,him_her,1,territorial,territorial,33,1,0,-1.7664021253585815,0.0
78,him_her,1,territorial,territorial,24,1,0,-1.546745777130127,0.0
79,him_her,1,territorial,territorial,17,1,0,-1.4466384649276733,0.0
80,him_her,1,territorial,territorial,26,1,0,-1.3719353675842285,0.0
81,him_her,1,territorial,territorial,24,1,0,-1.4852395057678223,0.0
82,him_her,1,territorial,territorial,16,1,0,-1.5195783376693726,0.0
83,him_her,1,territorial,evasive,16,0,0,-1.507855772972107,1.0
84,him_her,1,territorial,evasive,27,0,1,-2.341412305831909,1.0
85,him_her,1,territorial,territorial,17,1,0,-1.5296709537506104,0.0
86,him_her,1,territorial,territorial,20,1,0,-1.422467827796936,0.0
87,him_her,1,territorial,territorial,17,1,0,-1.3663560152053833,0.0
