episode,agent_type,current_model_id,current_model_name,true_end_policy,switch_point,model_correct,him_triggered,log_lik_per_step,episode_reward
70,him_her,1,territorial,territorial,22,1,0,-1.805955410003662,1.0
71,him_her,1,territorial,territorial,19,1,0,-1.4695485830307007,0.0
72,him_her,1,territorial,territorial,26,1,0,-1.7813140153884888,0.0
73,him_her,0,evasive,territorial,19,0,1,-2.406792640686035,1.0
74,him_her,1,territorial,territorial,23,1,1,-8.207795143127441,0.0
75,him_her,1,territorial,territorial,26,1,0,-1.2152992486953735,0.0
76,him_her,1,territorial,territorial,27,1,0,-1.6290111541748047,0.0
77,him_her,1,territorial,territorial,21,1,0,-1.4847615957260132,0.0
78,him_her,1,territorial,territorial,31,1,0,-1.6437636613845825,0.0
79,him_her,1,territorial,territorial,20,1,0,-1.4368090629577637,0.0
80,him_her,1,territorial,territorial,22,1,0,-1.5980589389801025,1.0
81,him_her,1,territorial,territorial,32,1,1,-2.6579387187957764,0.0
82,him_her,1,territorial,evasive,29,0,1,-3.137202739715576,1.0
83,him_her,1,territorial,territorial,19,1,0,-1.5530542135238647,0.0
84,him_her,1,territorial,evasive,24,0,1,-2.834678888320923,1.0
85,him_her,1,territorial,evasive,33,0,1,-2.0046987533569336,1.0
86,him_her,1,territorial,territorial,31,1,0,-1.4986791610717773,0.0
87,him_her,1,territorial,territorial,28,1,0,-1.6967507600784302,0.0
